,psnr,cpl,cs,ssim,mse,wd,kl,sss,tsi,hist_c,hist_i,vae,vif
psnr,1,-0.430084814,0.473352135,0.59151671,0.184005311,-0.806573761,-0.003816808,-0.188658364,-0.327932547,0.659555945,0.710287248,-0.244625278,0.600793158
cpl,-0.430084814,1,-0.472006047,-0.226099629,-0.092870378,0.247929001,-0.143472976,0.217885081,0.140046121,-0.158035533,-0.145783559,0.524887849,-0.560015016
cs,0.473352135,-0.472006047,1,0.673293085,0.189244952,-0.417260861,0.342427025,-0.35233708,-0.16235889,0.304636309,0.489395735,-0.064451509,0.863448038
ssim,0.59151671,-0.226099629,0.673293085,1,-0.022707994,-0.667357438,-0.023296571,-0.299141562,-0.631900295,0.526916454,0.808202286,0.197815534,0.616258336
mse,0.184005311,-0.092870378,0.189244952,-0.022707994,1,-0.341032777,0.402669906,0.000464149,0.41303353,0.260024519,0.153262412,-0.305825418,0.324258516
wd,-0.806573761,0.247929001,-0.417260861,-0.667357438,-0.341032777,1,0.001119969,0.138871586,0.285750244,-0.767849329,-0.791844204,0.112552934,-0.501148985
kl,-0.003816808,-0.143472976,0.342427025,-0.023296571,0.402669906,0.001119969,1,-0.069540982,0.328035105,-0.128364824,-0.055231251,-0.188287022,0.310340455
sss,-0.188658364,0.217885081,-0.35233708,-0.299141562,0.000464149,0.138871586,-0.069540982,1,0.226585187,-0.012720608,-0.14216308,-0.064476768,-0.344081819
tsi,-0.327932547,0.140046121,-0.16235889,-0.631900295,0.41303353,0.285750244,0.328035105,0.226585187,1,-0.197517679,-0.432351983,-0.384144643,-0.093665971
hist_c,0.659555945,-0.158035533,0.304636309,0.526916454,0.260024519,-0.767849329,-0.128364824,-0.012720608,-0.197517679,1,0.851358029,-0.053544814,0.311923647
hist_i,0.710287248,-0.145783559,0.489395735,0.808202286,0.153262412,-0.791844204,-0.055231251,-0.14216308,-0.432351983,0.851358029,1,0.084251487,0.478467783
vae,-0.244625278,0.524887849,-0.064451509,0.197815534,-0.305825418,0.112552934,-0.188287022,-0.064476768,-0.384144643,-0.053544814,0.084251487,1,-0.240467531
vif,0.600793158,-0.560015016,0.863448038,0.616258336,0.324258516,-0.501148985,0.310340455,-0.344081819,-0.093665971,0.311923647,0.478467783,-0.240467531,1
