,PSNR,CPL,CS,SSIM,MSE,WD,KL,SSS,TSI,HIST_COR,HIST_INT,VAE
PSNR,1,-0.430084814,0.473352135,0.59151671,0.184005311,-0.806573761,-0.003816808,-0.188658364,-0.327932547,0.659555945,0.710287248,-0.300895399
CPL,-0.430084814,1,-0.472006047,-0.226099629,-0.092870378,0.247929001,-0.143472976,0.217885081,0.140046121,-0.158035533,-0.145783559,0.540945053
CS,0.473352135,-0.472006047,1,0.673293085,0.189244952,-0.417260861,0.342427025,-0.35233708,-0.16235889,0.304636309,0.489395735,-0.096710038
SSIM,0.59151671,-0.226099629,0.673293085,1,-0.022707994,-0.667357438,-0.023296571,-0.299141562,-0.631900295,0.526916454,0.808202286,0.168780385
MSE,0.184005311,-0.092870378,0.189244952,-0.022707994,1,-0.341032777,0.402669906,0.000464149,0.41303353,0.260024519,0.153262412,-0.287380271
WD,-0.806573761,0.247929001,-0.417260861,-0.667357438,-0.341032777,1,0.001119969,0.138871586,0.285750244,-0.767849329,-0.791844204,0.115600916
KL,-0.003816808,-0.143472976,0.342427025,-0.023296571,0.402669906,0.001119969,1,-0.069540982,0.328035105,-0.128364824,-0.055231251,-0.170098845
SSS,-0.188658364,0.217885081,-0.35233708,-0.299141562,0.000464149,0.138871586,-0.069540982,1,0.226585187,-0.012720608,-0.14216308,0.001738245
TSI,-0.327932547,0.140046121,-0.16235889,-0.631900295,0.41303353,0.285750244,0.328035105,0.226585187,1,-0.197517679,-0.432351983,-0.362632554
HIST_COR,0.659555945,-0.158035533,0.304636309,0.526916454,0.260024519,-0.767849329,-0.128364824,-0.012720608,-0.197517679,1,0.851358029,-0.076521893
HIST_INT,0.710287248,-0.145783559,0.489395735,0.808202286,0.153262412,-0.791844204,-0.055231251,-0.14216308,-0.432351983,0.851358029,1,0.021920044
VAE,-0.300895399,0.540945053,-0.096710038,0.168780385,-0.287380271,0.115600916,-0.170098845,0.001738245,-0.362632554,-0.076521893,0.021920044,1
