,accuracy,precision,recall,effort,threshold,F1-Score,small accuracy
40,71.03347889,70.12383901,98.69281046,0.75,0.011562304,0.819909502,0.710334789
50,69.86899563,69.12225705,97.7827051,0.75,0.012773296,0.809917355,0.698689956
59,69.86899563,68.74027994,98.66071429,0.75,0.00979976,0.810265811,0.698689956
55,69.72343523,69.6124031,97.39696312,0.75,0.012004878,0.811934901,0.697234352
47,69.43231441,68.67283951,98.45132743,0.75,0.012004878,0.809090909,0.694323144
42,69.286754,69.21875,96.93654267,0.75,0.012773296,0.807657247,0.69286754
0,69.09267346,68.4371808,98.60191317,0.25,0.010824897,0.807958999,0.690926735
25,68.99563319,68.1504221,98.77641824,0.5,0.010443084,0.80653951,0.689956332
28,68.99563319,69.15306915,96.84439608,0.5,0.013668227,0.806890299,0.689956332
33,68.99563319,68.44583987,97.32142857,0.5,0.012773296,0.803686636,0.689956332
17,68.94711305,68.275154,98.37278107,0.25,0.011344055,0.806060606,0.689471131
29,68.77729258,68.18873668,98.78721058,0.5,0.010106614,0.806843764,0.687772926
1,68.75303251,67.94478528,98.73699851,0.25,0.010443084,0.804966687,0.687530325
8,68.75303251,68.04915515,98.51742031,0.25,0.010394496,0.804966687,0.687530325
27,68.63173217,67.93478261,97.98432251,0.5,0.012004099,0.802384227,0.686317322
19,68.6074721,68.25974026,97.33333333,0.25,0.012773296,0.802442748,0.686074721
16,68.36487142,67.80962129,98.29376855,0.25,0.010740392,0.802543913,0.683648714
10,68.31635129,67.61710794,98.73605948,0.25,0.010344709,0.802659414,0.683163513
37,68.26783115,67.5,99.22048998,0.5,0.009734692,0.80342651,0.682678312
51,68.26783115,67.70670827,97.52808989,0.75,0.012773296,0.799263352,0.682678312
31,68.19505095,67.3237301,99.32885906,0.5,0.009281361,0.802530502,0.68195051
35,68.12227074,67.68388106,97.19101124,0.5,0.012890486,0.79797048,0.681222707
26,68.04949054,67.92750197,96.42058166,0.5,0.01411682,0.797041147,0.680494905
6,67.97671033,67.75871035,97.02159345,0.25,0.012773296,0.797917942,0.679767103
41,67.97671033,67.59689922,97.53914989,0.75,0.012004878,0.798534799,0.679767103
20,67.90393013,66.97108067,99.210823,0.5,0.009402762,0.799636529,0.679039301
7,67.87967006,67.10526316,99.10313901,0.25,0.009490243,0.8002414,0.678796701
12,67.87967006,67.85340314,96.42857143,0.25,0.013721846,0.796558082,0.678796701
39,67.83114993,67.34693878,97.05882353,0.5,0.012773296,0.795180723,0.678311499
15,67.73410966,67.28586171,97.67790262,0.25,0.011673586,0.796822487,0.677341097
14,67.68558952,67.16649431,97.66917293,0.25,0.012004878,0.795955882,0.676855895
36,67.68558952,66.97108067,98.87640449,0.5,0.010106614,0.798548094,0.676855895
38,67.68558952,67.38962045,97.42441209,0.5,0.012165966,0.796703297,0.676855895
49,67.68558952,66.87306502,98.18181818,0.75,0.012773296,0.79558011,0.676855895
30,67.54002911,66.81852696,98.98762655,0.5,0.010106614,0.797824116,0.675400291
44,67.54002911,67.13615023,97.05882353,0.75,0.012773296,0.793709528,0.675400291
56,67.54002911,66.46341463,99.3166287,0.75,0.010345779,0.796347032,0.675400291
3,67.49150898,68.31521739,93.52678571,0.25,0.017179676,0.789572864,0.67491509
21,67.46724891,66.53963415,99.09194098,0.5,0.010106614,0.796169631,0.674672489
22,67.46724891,66.66666667,98.75424689,0.5,0.010106614,0.795983569,0.674672489
5,67.44298884,66.85744017,97.42228961,0.25,0.012890486,0.792965134,0.674429888
2,67.3944687,66.43037975,99.31869796,0.25,0.009491526,0.796116505,0.673944687
23,67.3944687,66.6921314,98.6440678,0.5,0.01031944,0.795806746,0.673944687
48,67.3944687,66.21004566,99.5423341,0.75,0.009490243,0.795246801,0.673944687
9,67.34594857,66.3627153,99.3176649,0.25,0.010106614,0.795627088,0.673459486
11,67.34594857,67.57894737,95.74944072,0.25,0.014645217,0.792348041,0.673459486
18,67.34594857,67.62208068,95.28795812,0.25,0.015200653,0.791058677,0.673459486
4,67.2489083,66.47930506,98.56060606,0.25,0.010740392,0.79401892,0.672489083
34,67.2489083,66.640625,97.37442922,0.5,0.012773296,0.791280148,0.672489083
24,67.10334789,66.64086687,97.61904762,0.5,0.011562304,0.792088316,0.671033479
46,66.95778748,66.03773585,97.44779582,0.75,0.012773296,0.787253983,0.669577875
45,66.66666667,65.69230769,98.61431871,0.75,0.010106614,0.788550323,0.666666667
53,66.66666667,65.4853621,98.8372093,0.75,0.012165966,0.78776645,0.666666667
43,66.52110626,65.78947368,97.92626728,0.75,0.012773296,0.787037037,0.665211063
13,66.42406599,67.24137931,93.69369369,0.25,0.016545249,0.78293601,0.66424066
32,66.37554585,65.44901065,99.07834101,0.5,0.009734692,0.788267644,0.663755459
57,66.22998544,65.39634146,98.84792627,0.75,0.010394496,0.787155963,0.662299854
52,65.93886463,64.57055215,99.29245283,0.75,0.010106614,0.782527881,0.659388646
54,65.93886463,65.09863429,99.07621247,0.75,0.010106614,0.785714286,0.659388646
58,65.64774381,65.27131783,97.22863741,0.75,0.012773296,0.781076067,0.656477438
